Practice code,Practice name, Opt-out , List Size , Opt-out Rate 
D83073,DR SOLWAY & DR MALLICK PRACTICE, 170 ," 6,178 ",2.75
D83074,ORCHARD MEDICAL PRACTICE, 492 ," 14,247 ",3.45
D83075,SIAM SURGERY, 408 ," 10,870 ",3.75
D83076,CLARE GUILDHALL SURGERY, 222 ," 5,316 ",4.18
D83078,THE REYNARD SURGERY, 665 ," 9,665 ",6.88
D83079,COMBS FORD SURGERY, 488 ," 9,263 ",5.27
D83080,MARTLESHAM SURGERY, 252 ," 6,018 ",4.19
D83081,HAVEN HEALTH, 857 ," 8,637 ",9.92
D83084,THE BIRCHES MEDICAL CENTRE, 256 ," 7,118 ",3.60
D83608,ANDAMAN SURGERY, 267 ," 6,599 ",4.05
D83610,SWAN SURGERY, 467 ," 12,867 ",3.63
E81001,DR I SALEH'S PRACTICE, 203 ," 3,377 ",6.01
E81002,GREENSAND SURGERY (AMPTHILL), 594 ," 10,119 ",5.87
E81003,DR JL HENDERSON & PARTNERS, 831 ," 18,987 ",4.38
E81004,SALISBURY HOUSE SURGERY, 527 ," 11,691 ",4.51
E81005,BELL HOUSE MEDICAL CENTRE, 985 ," 10,371 ",9.50
E81006,STOPSLEY VILLAGE PRACTICE, 474 ," 9,425 ",5.03
E81007,HARROLD MEDICAL PRACTICE, 308 ," 6,396 ",4.82
E81008,WHEATFIELD SURGERY, 573 ," 12,895 ",4.44
E81009,WEST STREET SURGERY, 535 ," 11,802 ",4.53
E81010,DR WHM MATTA'S PRACTICE, 421 ," 8,749 ",4.81
E81012,GREENSANDS (POTTON), 907 ," 12,505 ",7.25
E81013,CASTLE MEDICAL GROUP PRACTICE, 732 ," 17,022 ",4.30
E81014,PRIORY GARDENS SURGERY, 715 ," 17,315 ",4.13
E81015,FLITWICK SURGERY, 656 ," 14,228 ",4.61
E81016,LISTER HOUSE SURGERY, 432 ," 6,342 ",6.81
E81018,WOODLAND AVENUE PRACTICE, 718 ," 11,726 ",6.12
E81019,LONDON ROAD HEALTH CENTRE," 1,218 "," 20,617 ",5.91
E81021,QUEENS PARK HEALTH CENTRE, 569 ," 12,583 ",4.52
E81022,LARKSFIELD SURGERY MEDICAL PARTNERSHIP, 647 ," 14,257 ",4.54
E81024,SHARNBROOK SURGERY, 260 ," 5,847 ",4.45
E81025,THE OAKLEY SURGERY, 382 ," 7,149 ",5.34
E81026,LARKSIDE PRACTICE, 524 ," 9,625 ",5.44
E81027,HOUGHTON REGIS MEDICAL CENTRE, 417 ," 12,020 ",3.47
E81028,DR R KHANCHANDANI'S PRACTICE, 659 ," 14,664 ",4.49
E81029,PUTNOE MEDICAL CENTRE PARTNERSHIP, 909 ," 17,008 ",5.34
E81030,CAULDWELL MEDICAL CENTRE, 369 ," 9,157 ",4.03
E81031,GREAT BARFORD SURGERY, 258 ," 5,294 ",4.87
E81032,LEA VALE MEDICAL PRACTICE," 1,129 "," 30,758 ",3.67
E81033,SHEFFORD HEALTH CENTRE, 628 ," 18,275 ",3.44
E81034,TODDINGTON MEDICAL CENTRE, 422 ," 7,634 ",5.53
E81035,SANDY HEALTH CENTRE, 444 ," 8,852 ",5.02
E81036,IVEL MEDICAL CENTRE, 711 ," 13,957 ",5.09
E81037,THE DE PARYS GROUP," 2,481 "," 37,922 ",6.54
E81038,KING STREET SURGERY, 977 ," 21,669 ",4.51
E81040,SUNDON MEDICAL CENTRE, 475 ," 9,194 ",5.17
E81041,GARDENIA PRACTICE, 635 ," 13,360 ",4.75
E81043,MARSTON FOREST HEALTHCARE, 547 ," 11,114 ",4.92
E81044,LEIGHTON ROAD SURGERY, 764 ," 20,044 ",3.81
E81045,KINGSBURY COURT SURGERY, 401 ," 9,468 ",4.24
E81046,DR A SULAKSHANA & PARTNERS, 526 ," 11,764 ",4.47
E81047,GOLDINGTON AVENUE SURGERY, 813 ," 14,315 ",5.68
E81048,BUTE HOUSE MEDICAL CENTRE, 472 ," 8,599 ",5.49
E81049,PRIORY MEDICAL CENTRE, 812 ," 7,642 ",10.63
E81050,ASPLANDS MEDICAL CENTRE, 604 ," 12,264 ",4.92
E81052,KIRBY ROAD SURGERY, 348 ," 8,489 ",4.10
E81057,SAFFRON HEALTH PARTNERSHIP," 2,241 "," 20,920 ",10.71
E81060,LINDEN ROAD SURGERY, 335 ," 6,291 ",5.33
E81061,DR CARRAGHER AND NEAL AND AKHTAR, 365 ," 6,399 ",5.70
E81063,CONWAY MEDICAL CENTRE, 572 ," 8,212 ",6.97
E81064,BRAMINGHAM PARK MEDICAL CENTRE, 303 ," 6,591 ",4.60
E81069,CADDINGTON SURGERY, 286 ," 5,169 ",5.53
E81073,THE MEDICI MEDICAL PRACTICE, 637 ," 15,920 ",4.00
E81074,HOUGHTON CLOSE SURGERY, 558 ," 11,548 ",4.83
E81076,DR DV SHAH'S PRACTICE, 226 ," 4,169 ",5.42
E81077,OLIVER STREET SURGERY, 394 ," 8,030 ",4.91
E81612,DRS MIRZA SUKHANI & PARTNERS, 356 ," 5,934 ",6.00
E81615,ASHBURNHAM ROAD SURGERY, 162 ," 3,998 ",4.05
E81617,DR PS BATH'S PRACTICE, 184 ," 4,543 ",4.05
E81631,MALZEARD ROAD PRACTICE, 230 ," 8,869 ",2.59
E81632,BARTON HILLS MEDICAL GROUP, 493 ," 7,911 ",6.23
E81633,NEVILLE ROAD SURGERY, 560 ," 4,238 ",13.21
E81635,EASTGATE SURGERY, 187 ," 3,986 ",4.69
E82001,ROTHSCHILD HOUSE GROUP," 2,196 "," 41,037 ",5.35
E82002,WRAFTON HOUSE SURGERY, 388 ," 9,889 ",3.92
E82004,HATFIELD ROAD SURGERY, 241 ," 5,304 ",4.54
E82005,STANMORE MEDICAL GROUP," 1,794 "," 36,169 ",4.96
E82006,THE LIMES SURGERY, 606 ," 7,792 ",7.78
E82007,HANSCOMBE HOUSE SURGERY, 711 ," 12,146 ",5.85
E82008,THE NEVELLS ROAD SURGERY, 593 ," 10,511 ",5.64
E82009,LINCOLN HOUSE SURGERY, 742 ," 14,074 ",5.27
E82012,FAIRBROOK MEDICAL CENTRE," 1,503 "," 14,677 ",10.24
E82013,BRIDGEWATER SURGERIES," 2,020 "," 31,860 ",6.34
E82014,"LODGE,HIGHFIELD & REDBOURN"," 1,092 "," 20,427 ",5.35
E82015,SUTHERGREY HOUSE MEDICAL CENTRE, 520 ," 9,822 ",5.29
E82017,GARSTON MEDICAL CENTRE, 619 ," 11,592 ",5.34
E82018,LISTER HOUSE SURGERY, 695 ," 13,779 ",5.04
E82019,BRIDGE COTTAGE SURGERY, 780 ," 15,513 ",5.03
E82020,CONSULTING ROOMS," 4,647 "," 6,593 ",70.48
E82021,MUCH HADHAM HEALTH CENTRE, 261 ," 6,698 ",3.90
E82022,FERNVILLE SURGERY, 899 ," 17,051 ",5.27
E82023,BURVILL HOUSE SURGERY, 417 ," 12,053 ",3.46
E82024,WALLACE HOUSE, 730 ," 15,017 ",4.86
E82027,PARKFIELD MEDICAL CENTRE, 885 ," 12,817 ",6.90
E82031,MALTINGS SURGERY," 1,549 "," 17,854 ",8.68
E82032,BENNETTS END SURGERY, 874 ," 16,530 ",5.29
E82035,KNEBWORTH & MARYMEAD PRACTICE, 680 ," 13,361 ",5.09
E82037,VILLAGE SURGERY, 763 ," 15,472 ",4.93
E82038,PUCKERIDGE & STANDON SURGERY, 245 ," 9,127 ",2.68
E82040,PEARTREE LANE SURGERY, 924 ," 21,215 ",4.36
E82041,THE GARDEN CITY PRACTICE, 649 ," 11,505 ",5.64
E82042,ABBEY ROAD SURGERY, 533 ," 9,530 ",5.59
E82043,SCHOPWICK SURGERY, 841 ," 14,173 ",5.93
E82044,THE PORTMILL SURGERY, 735 ," 13,844 ",5.31
E82045,WATFORD HEALTH CENTRE, 661 ," 18,837 ",3.51
E82046,VINE HOUSE HEALTH CENTRE, 605 ," 11,785 ",5.13
E82048,THEOBALD MEDICAL CENTRE, 448 ," 8,950 ",5.01
E82049,BALDWINS LANE SURGERY, 158 ," 3,680 ",4.29
E82050,GROVE HILL MEDICAL CENTRE, 243 ," 4,998 ",4.86
E82051,EVEREST HOUSE SURGERY, 772 ," 14,419 ",5.35
E82053,BANCROFT MEDICAL CENTRE," 1,238 "," 18,651 ",6.64
E82055,MIDWAY SURGERY, 999 ," 13,246 ",7.54
E82056,SHEPHALL HEALTH CENTRE, 382 ," 8,852 ",4.32
E82058,POTTERELLS MEDICAL CENTRE, 659 ," 16,082 ",4.10
E82059,GRANGE STREET SURGERY, 641 ," 10,340 ",6.20
E82060,PARKBURY HOUSE SURGERY," 1,534 "," 22,167 ",6.92
E82061,AMWELL SURGERY, 652 ," 13,418 ",4.86
E82062,HALL GROVE GROUP PRACTICE, 822 ," 15,907 ",5.17
E82063,THE MAPLES, 782 ," 12,748 ",6.13
E82064,CHORLEYWOOD HEALTH CENTRE, 399 ," 6,992 ",5.71
E82066,HAVERFIELD SURGERY, 226 ," 3,463 ",6.53
E82067,CHURCH STREET PARTNERSHIP, 902 ," 16,503 ",5.47
E82068,GADE SURGERY, 761 ," 12,103 ",6.29
E82069,THE ELMS SURGERY," 2,281 "," 7,465 ",30.56
E82070,WOODHALL FARM MEDICAL CTR, 133 ," 3,232 ",4.12
E82071,ELMS MEDICAL PRACTICE, 844 ," 16,578 ",5.09
E82072,THE HEALTH CENTRE PRACTICE, 595 ," 12,091 ",4.92
E82073,MANOR VIEW PRACTICE," 1,761 "," 29,816 ",5.91
E82074,SOUTH STREET SURGERY," 1,197 "," 22,505 ",5.32
E82075,REGAL CHAMBERS SURGERY, 677 ," 12,790 ",5.29
E82077,DAVENPORT HOUSE SURGERY, 636 ," 12,610 ",5.04
E82078,HIGHVIEW MEDICAL CENTRE, 612 ," 9,726 ",6.29
E82079,CROMWELL MEDICAL CENTRE, 433 ," 8,643 ",5.01
E82081,CUFFLEY AND GOFFS OAK MEDICAL PRACTICE, 804 ," 13,000 ",6.18
E82082,BIRCHWOOD SURGERY, 615 ," 12,420 ",4.95
E82083,THE COLNE PRACTICE, 637 ," 10,343 ",6.16
E82084,HARVEY GROUP PRACTICE, 766 ," 14,240 ",5.38
E82085,THE RED HOUSE GROUP," 1,275 "," 19,310 ",6.60
E82086,KING GEORGE SURGERY," 1,059 "," 22,322 ",4.74
E82088,HAILEY VIEW SURGERY, 549 ," 10,150 ",5.41
E82089,CHELLS SURGERY," 7,393 "," 15,231 ",48.54
E82090,PARK LANE SURGERY," 1,837 "," 10,579 ",17.36
E82091,PARKWOOD SURGERY, 946 ," 17,932 ",5.28
E82092,DOLPHIN HOUSE SURGERY, 711 ," 15,058 ",4.72
E82093,BEDWELL MEDICAL CENTRE, 988 ," 12,795 ",7.72
E82094,THE MANOR STREET SURGERY, 782 ," 11,901 ",6.57
E82096,SHEEPCOT MEDICAL CENTRE, 916 ," 10,927 ",8.38
E82098,ANNANDALE MEDICAL CENTRE, 715 ," 7,830 ",9.13
E82099,THE BALDOCK SURGERY, 740 ," 12,840 ",5.76
E82100,CENTRAL SURGERY, 716 ," 12,763 ",5.61
E82102,NEW RIVER HEALTH, 975 ," 19,569 ",4.98
E82104,THE SOLLERSHOTT SURGERY, 382 ," 5,585 ",6.84
E82105,ABBOTSWOOD MEDICAL CENTRE, 236 ," 4,783 ",4.93
E82106,NEW ROAD SURGERY, 634 ," 10,465 ",6.06
E82107,SUMMERFIELD HEALTH CENTRE, 461 ," 9,292 ",4.96
E82111,THE SYMONDS GREEN HEALTH CENTRE, 162 ," 4,603 ",3.52
E82113,COLNEY MEDICAL CENTRE, 188 ," 3,982 ",4.72
E82115,STOCKWELL LODGE MED.CTR., 644 ," 10,772 ",5.98
E82117,THE GROVE MEDICAL CENTRE," 1,011 "," 13,656 ",7.40
E82121,WATTON PLACE CLINIC, 208 ," 5,001 ",4.16
E82123,WARDEN LODGE MEDICAL PRACTICE, 691 ," 10,152 ",6.81
E82124,ATTENBOROUGH SURGERY," 2,069 "," 31,179 ",6.64
E82129,KINGS LANGLEY SURGERY," 1,002 "," 14,881 ",6.73
E82130,THE MEDICAL CENTRE BUNTINGFORD, 514 ," 10,810 ",4.75
E82132,ROYSIA SURGERY, 303 ," 6,062 ",5.00
E82133,HIGH STREET SURGERY, 392 ," 6,344 ",6.18
E82626,WHITWELL SURGERY, 121 ," 2,849 ",4.25
E82638,STANHOPE SURGERY, 395 ," 6,495 ",6.08
E82640,HIGHFIELD SURGERY, 314 ," 6,639 ",4.73
E82643,ARCHWAY SURGERY, 108 ," 2,592 ",4.17
E82644,COLERIDGE HOUSE MEDICAL CENTRE, 123 ," 2,925 ",4.21
E82652,GOSSOMS END SURGERY, 164 ," 3,007 ",5.45
E82654,PARSONAGE SURGERY, 436 ," 7,647 ",5.70
E82655,SOUTH OXHEY SURGERY, 363 ," 3,774 ",9.62
E82657,LITTLE BUSHEY SURGERY, 531 ," 6,105 ",8.70
E82661,THE GARDEN CITY SURGERY, 389 ," 8,079 ",4.81
E83003,OAKLEIGH ROAD HEALTH CENTRE, 607 ," 9,177 ",6.61
E83005,LICHFIELD GROVE SURGERY, 349 ," 6,520 ",5.35
E83006,GREENFIELD MEDICAL CENTRE, 421 ," 7,170 ",5.87
E83007,SQUIRES LANE MEDICAL PRACTICE, 327 ," 5,589 ",5.85
E83008,HEATHFIELDE MEDICAL CENTRE," 1,481 "," 8,861 ",16.71
E83009,PHGH DOCTORS, 649 ," 11,900 ",5.45
E83010,THE SPEEDWELL PRACTICE, 715 ," 11,231 ",6.37
E83011,THE EVERGLADE MEDICAL PRACTICE, 502 ," 10,429 ",4.81
E83012,THE OLD COURT HOUSE SURGERY, 582 ," 8,579 ",6.78
E83013,CORNWALL HOUSE SURGERY," 1,504 "," 5,752 ",26.15
E83016,MILLWAY MEDICAL PRACTICE," 1,224 "," 19,702 ",6.21
E83017,LONGROVE SURGERY," 1,094 "," 17,398 ",6.29
E83018,WATLING MEDICAL CENTRE, 956 ," 17,232 ",5.55
E83020,ST. GEORGES MEDICAL CENTRE, 587 ," 11,513 ",5.10
E83021,TORRINGTON PARK GROUP PRACTICE, 685 ," 12,372 ",5.54
E83024,ST ANDREWS MEDICAL PRACTICE.," 1,215 "," 11,376 ",10.68
E83025,PENNINE DRIVE PRACTICE, 459 ," 8,535 ",5.38
E83026,SUPREME MEDICAL CENTRE, 271 ," 4,478 ",6.05
E83027,THE PRACTICE AT 188, 261 ," 9,001 ",2.90
E83028,PARKVIEW SURGERY, 281 ," 6,547 ",4.29
E83030,PENSHURST GARDENS SURGERY, 348 ," 6,248 ",5.57
E83031,THE VILLAGE SURGERY, 353 ," 5,216 ",6.77
E83032,OAK LODGE MEDICAL CENTRE, 688 ," 17,776 ",3.87
E83034,COLNEY HATCH LANE SURGERY, 679 ," 5,296 ",12.82
E83035,WENTWORTH MEDICAL PRACTICE., 800 ," 12,963 ",6.17
E83037,DERWENT CRESCENT MEDICAL CENTRE, 732 ," 5,537 ",13.22
E83038,JAI MEDICAL CENTRE, 433 ," 8,903 ",4.86
E83039,RAVENSCROFT MEDICAL CENTRE, 217 ," 5,660 ",3.83
E83041,WAKEMANS HILL SURGERY, 153 ," 4,325 ",3.54
E83044,ADDINGTON MEDICAL CENTRE, 659 ," 9,361 ",7.04
E83045,FRIERN BARNET MEDICAL CENTRE, 648 ," 9,748 ",6.65
E83046,MULBERRY MEDICAL PRACTICE, 436 ," 9,061 ",4.81
E83049,LANGSTONE WAY SURGERY, 538 ," 9,019 ",5.97
E83050,EAST FINCHLEY MEDICAL CENTRE, 459 ," 7,734 ",5.93
E83053,LANE END MEDICAL GROUP, 721 ," 14,219 ",5.07
E83600,ADLER JS-THE SURGERY, 102 ," 6,552 ",1.56
E83613,EAST BARNET HEALTH CENTRE, 619 ," 11,429 ",5.42
E83621,BRUNSWICK PARK MEDICAL PRACTICE, 719 ," 8,429 ",8.53
E83622,TEMPLE FORTUNE MEDICAL GROUP, 421 ," 8,352 ",5.04
E83637,COLINDALE MEDICAL CENTRE LP, 412 ," 10,560 ",3.90
E83638,THE MOUNTFIELD SURGERY, 351 ," 4,924 ",7.13
E83639,ROSEMARY SURGERY, 283 ," 6,140 ",4.61
E83649,THE HODFORD ROAD PRACTICE, 218 ," 4,130 ",5.28
E83650,GLOUCESTER ROAD SURGERY, 313 ," 1,771 ",17.67
E83653,THE PHOENIX PRACTICE, 499 ," 10,280 ",4.85
E83657,THE HILLVIEW SURGERY, 76 ," 1,963 ",3.87
E83668,DR SP TALPAHEWA, 180 ," 4,201 ",4.28
E84002,FORTY WILLOWS SURGERY, 408 ," 7,019 ",5.81
E84003,PREMIER MEDICAL CENTRE, 414 ," 11,421 ",3.62
E84004,THE CIRCLE PRACTICE, 568 ," 8,266 ",6.87
E84005,KINGS ROAD SURGERY, 457 ," 7,456 ",6.13
E84006,THE LAW MEDICAL GROUP PRACTICE," 1,230 "," 17,217 ",7.14
E84007,UXENDON CRESCENT SURGERY, 351 ," 5,499 ",6.38
E84008,SIMPSON HOUSE MEDICAL CENTRE, 689 ," 10,516 ",6.55
E84009,ENDERLEY ROAD MEDICAL CENTRE, 811 ," 12,318 ",6.58
E84011,ST ANDREWS MEDICAL CENTRE, 103 ," 1,652 ",6.23
E84012,MAPESBURY MEDICAL GROUP, 528 ," 8,903 ",5.93
E84013,CHURCH END MEDICAL CENTRE, 681 ," 8,109 ",8.40
E84014,BACON LANE SURGERY, 508 ," 8,805 ",5.77
E84015,WILLOW TREE FAMILY DOCTORS," 1,174 "," 15,753 ",7.45
E84017,SUDBURY & ALPERTON MEDICAL CENTRE, 405 ," 8,472 ",4.78
E84018,STREATFIELD HEALTH CENTRE, 788 ," 7,808 ",10.09
E84020,JAI MEDICAL CENTRE (BRENT), 314 ," 6,504 ",4.83
E84021,THE WILLESDEN MEDICAL CENTRE, 675 ," 13,957 ",4.84
E84022,ROXBOURNE MEDICAL CENTRE, 431 ," 7,455 ",5.78
E84024,THE PINN MEDICAL CENTRE," 1,301 "," 19,323 ",6.73
E84025,THE LONSDALE MEDICAL CENTRE," 1,642 "," 21,475 ",7.65
E84028,THE STONEBRIDGE PRACTICE, 626 ," 7,050 ",8.88
E84030,PRESTON HILL SURGERY, 237 ," 4,368 ",5.43
E84031,BRENTFIELD MEDICAL CENTRE, 921 ," 9,168 ",10.05
E84032,ELLIS PRACTICE, 522 ," 8,338 ",6.26
E84033,CHALKHILL FAMILY PRACTICE, 382 ," 7,440 ",5.13
E84036,GLADSTONE MEDICAL CENTRE, 499 ," 9,683 ",5.15
E84039,HONEYPOT MEDICAL CENTRE, 771 ," 15,835 ",4.87
E84040,THE PINNER ROAD SURGERY, 216 ," 4,555 ",4.74
E84042,KILBURN PARK MEDICAL CENTRE, 430 ," 7,797 ",5.51
E84044,THE NORTHWICK SURGERY, 573 ," 10,687 ",5.36
E84048,THE FRYENT WAY SURGERY, 447 ," 7,920 ",5.64
E84049,BRAMPTON HEALTH CENTRE, 170 ," 6,059 ",2.81
E84051,STANLEY CORNER MEDICAL CENTRE, 303 ," 5,651 ",5.36
E84053,HATCH END MEDICAL CENTRE, 255 ," 3,675 ",6.94
E84057,THE STANMORE MEDICAL CENTRE, 958 ," 13,373 ",7.16
E84058,GP DIRECT," 1,378 "," 26,560 ",5.19
E84059,THE ALLENDALE ROAD SURGERY, 263 ," 4,599 ",5.72
E84061,ELLIOTT HALL MEDICAL CTR., 903 ," 11,249 ",8.03
E84062,THE SHAFTESBURY MEDICAL CENTRE, 229 ," 5,049 ",4.54
E84063,LANCELOT MEDICAL CENTRE, 121 ," 7,725 ",1.57
E84066,HAZELDENE MEDICAL CENTRE," 1,373 "," 38,507 ",3.57
E84067,CHURCH LANE SURGERY, 220 ," 9,506 ",2.31
E84068,THE RIDGEWAY SURGERY, 900 ," 15,422 ",5.84
E84069,BELMONT HEALTH CENTRE, 628 ," 13,655 ",4.60
E84070,PINNER VIEW MEDICAL CENTRE, 274 ," 5,105 ",5.37
E84074,FREUCHEN MEDICAL CENTRE, 471 ," 10,356 ",4.55
E84075,MOLLISON WAY SURGERY, 336 ," 10,439 ",3.22
E84076,OXGATE GARDENS SURGERY, 468 ," 6,650 ",7.04
E84078,KINGSBURY HEALTH AND WELLBEING, 269 ," 4,552 ",5.91
E84080,STAVERTON SURGERY, 615 ," 8,800 ",6.99
E84083,LANFRANC MEDICAL CENTRE, 264 ," 5,975 ",4.42
E84086,WALM LANE SURGERY, 467 ," 7,464 ",6.26
E84601,KENTON BRIDGE MEDICAL CENTRE DR GOLDEN, 416 ," 8,215 ",5.06
E84617,THE CIVIC MEDICAL CENTRE, 129 ," 5,649 ",2.28
E84620,PRESTON ROAD SURGERY, 226 ," 6,819 ",3.31
E84626,THE SUNFLOWER MEDICAL CENTRE, 147 ," 3,656 ",4.02
E84635,THE SURGERY, 157 ," 5,595 ",2.81
E84637,HILLTOP MEDICAL PRACTICE, 197 ," 4,330 ",4.55
E84638,ALPERTON MEDICAL CENTRE, 203 ," 5,836 ",3.48
E84645,PARK ROYAL MEDICAL PRACTICE, 473 ," 8,708 ",5.43
E84646,THE STREATFIELD MEDICAL CENTRE, 161 ," 7,654 ",2.10
E84647,KENTON CLINIC, 160 ," 3,024 ",5.29
E84653,ZAIN MEDICAL CENTRE, 116 ," 3,095 ",3.75
E84656,ROUNDWOOD PARK MEDICAL CENTRE, 425 ," 5,764 ",7.37
E84658,ASPRI MEDICAL CENTRE, 207 ," 5,122 ",4.04
E84663,KENTON BRIDGE MEDICAL CENTRE - DR RAJA, 230 ," 7,871 ",2.92
E84665,NEASDEN MEDICAL CENTRE, 325 ," 9,087 ",3.58
E84674,CHICHELE ROAD SURGERY, 128 ," 5,492 ",2.33
E84676,HEADSTONE LANE MEDICAL CENTRE, 69 ," 3,423 ",2.02
E84678,PRESTON MEDICAL CENTRE, 257 ," 4,404 ",5.84
E84680,HEADSTONE ROAD SURGERY, 251 ," 5,221 ",4.81
E84681,SAVITA MEDICAL CENTRE, 120 ," 4,187 ",2.87
E84684,THE TUDOR HOUSE MEDICAL CENTRE, 187 ," 3,997 ",4.68
E84685,SUDBURY SURGERY, 515 ," 8,355 ",6.16
E84693,ST. PETER'S MEDICAL CENTRE, 551 ," 8,229 ",6.70
E84699,KINGS EDGE MEDICAL CENTRE, 185 ," 3,810 ",4.86
E84701,PEARL MEDICAL PRACTICE, 234 ," 5,051 ",4.63
E84702,WILLESDEN GREEN SURGERY, 335 ," 8,197 ",4.09
E84704,ST. GEORGES MEDICAL CENTRE, 136 ," 2,385 ",5.70
E84709,WEMBLEY PARK DRIVE MEDICAL CENTRE, 764 ," 14,806 ",5.16
E84713,THE ENTERPRISE PRACTICE, 207 ," 4,337 ",4.77
E85001,THORNBURY ROAD CENTRE FOR HEALTH, 711 ," 8,665 ",8.21
E85003,NORTH END MEDICAL CENTRE, 896 ," 19,540 ",4.59
E85004,ALBANY PRACTICE, 559 ," 6,593 ",8.48
E85005,"THE SURGERY, DR DASGUPTA & PARTNERS", 165 ," 3,750 ",4.40
E85006,WATERSIDE MEDICAL CENTRE, 272 ," 4,919 ",5.53
E85007,ST. MARGARETS PRACTICE, 670 ," 12,930 ",5.18
E85008,NORTH FULHAM SURGERY, 481 ," 6,838 ",7.03
E85012,KS MEDICAL CENTRE, 266 ," 5,141 ",5.17
E85013,WESTSEVEN GP, 316 ," 5,024 ",6.29
E85014,NORTHFIELDS SURGERY," 1,290 "," 8,947 ",14.42
E85015,HOUNSLOW MEDICAL CENTRE, 354 ," 8,365 ",4.23
E85016,RICHFORD GATE MEDICAL CENTRE, 737 ," 10,655 ",6.92
E85018,DR SOOD'S PRACTICE, 74 ," 1,893 ",3.91
E85019,CROWN STREET SURGERY, 513 ," 8,832 ",5.81
E85020,BROOK GREEN MEDICAL CENTRE," 1,082 "," 16,058 ",6.74
E85021,YEADING MEDICAL CENTRE, 327 ," 6,976 ",4.69
E85023,CHEPSTOW GARDENS MEDICAL CENTRE, 259 ," 2,599 ",9.97
E85024,CARLTON SURGERY, 207 ," 5,329 ",3.88
E85025,CASSIDY ROAD MEDICAL CENTRE, 570 ," 11,795 ",4.83
E85026,GORDON HOUSE SURGERY, 837 ," 15,212 ",5.50
E85028,HILLCREST SURGERY, 523 ," 9,008 ",5.81
E85029,"THE MEDICAL CENTRE, DR JEFFERIES & PARTN", 588 ," 13,237 ",4.44
E85030,CHISWICK HEALTH PRACTICE, 370 ," 7,505 ",4.93
E85032,ASHCHURCH SURGERY, 363 ," 4,780 ",7.59
E85033,HAMMERSMITH SURGERY, 702 ," 11,345 ",6.19
E85034,GROSVENOR HOUSE SURGERY, 363 ," 5,880 ",6.17
E85035,MOUNT MEDICAL CENTRE, 261 ," 5,792 ",4.51
E85038,"THE SURGERY, DR MANGWANA & PARTNERS", 271 ," 5,316 ",5.10
E85040,WEST4 GPS, 581 ," 9,585 ",6.06
E85041,HANWELL HEALTH CENTRE (NAISH), 309 ," 5,896 ",5.24
E85042,THE NEW SURGERY, 427 ," 6,190 ",6.90
E85045,TWICKENHAM PARK MEDICAL CENTRE, 129 ," 3,667 ",3.52
E85046,EASTMEAD AVENUE SURGERY, 395 ," 5,876 ",6.72
E85048,"DR CANISIUS & DR HASAN, PARKVIEW CFH&W", 421 ," 7,621 ",5.52
E85049,BELMONT MEDICAL CENTRE, 128 ," 8,173 ",1.57
E85050,GREENFORD ROAD MED.CTR., 388 ," 7,674 ",5.06
E85051,GREENFORD AVENUE FHP, 378 ," 5,428 ",6.96
E85052,CRANFORD MEDICAL CENTRE, 350 ," 7,106 ",4.93
E85053,THE MEDICAL CENTRE, 181 ," 3,654 ",4.95
E85054,HILLVIEW SURGERY, 630 ," 10,847 ",5.81
E85055,THE BUSH DOCTORS, 728 ," 12,182 ",5.98
E85056,ST DAVIDS PRACTICE, 270 ," 7,833 ",3.45
E85057,QUEENS WALK PRACTICE," 7,010 "," 9,711 ",72.19
E85058,BLUE WING FAMILY DOCTOR UNIT, 345 ," 7,689 ",4.49
E85059,CHESTNUT PRACTICE, 297 ," 8,734 ",3.40
E85060,KINGFISHER PRACTICE, 309 ," 6,267 ",4.93
E85061,WELCOME PRACTICE, 211 ," 5,106 ",4.13
E85062,FIRSTCARE PRACTICE, 322 ," 13,842 ",2.33
E85064,WEST END SURGERY, 346 ," 4,925 ",7.03
E85066,THE BEDFORD PARK SURGERY, 339 ," 3,582 ",9.46
E85069,OLDFIELD FAMILY PRACTICE, 286 ," 4,910 ",5.82
E85071,CLIFFORD HOUSE MEDICAL CENTRE, 64 ," 1,721 ",3.72
E85074,WEST KENSINGTON GP SURGERY, 238 ," 4,403 ",5.41
E85075,CHISWICK FAMILY PRACTICE, 354 ," 4,261 ",8.31
E85077,SHEPHERDS BUSH MEDICAL CENTRE, 212 ," 3,728 ",5.69
E85083,DR SIVANESAN & PARTNER, 233 ," 6,422 ",3.63
E85088,ELMBANK SURGERY, 306 ," 5,471 ",5.59
E85090,HAMMOND ROAD SURGERY, 139 ," 4,745 ",2.93
E85091,BRUNSWICK ROAD MED.CTR., 29 ," 1,382 ",2.10
E85096,MEDICAL CENTRE, 194 ," 6,147 ",3.16
E85098,ISLIP MANOR MEDICAL CENTRE, 273 ," 5,579 ",4.89
E85099,THE AVENUE SURGERY, 465 ," 4,646 ",10.01
E85103,LADY MARGARET ROAD MEDICAL CENTRE, 152 ," 3,519 ",4.32
E85107,THE MILL HILL SURGERY, 552 ," 7,196 ",7.67
E85108,MANDEVILLE MEDICAL CENTRE, 238 ," 4,859 ",4.90
E85109,THE ACTON HEALTH CENTRE, 200 ," 4,320 ",4.63
E85111,PERIVALE MEDICAL CLINIC, 262 ," 5,127 ",5.11
E85112,ELMTREES SURGERY, 300 ," 6,292 ",4.77
E85113,REDWOOD PRACTICE, 430 ," 7,424 ",5.79
